"energy-commodities","sectors","indicator","Unit","Date","Value"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2014","3.9"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2015","5.1"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2016","4.9"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2017","4.9"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2018","4.9"
"Total energy commodities","08 Mining and quarrying (no oil and gas)","Total energy consumption","PJ","2019","4.7"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1990","83.5"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1991","84.2"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1992","90"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1993","93.8"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1994","93.5"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1995","92.8"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1996","102.5"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1997","97.9"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1998","99.4"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","1999","104.8"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2000","101.3"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2001","99.3"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2002","100.5"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2003","96.5"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2004","95.9"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2005","94.4"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2006","91.5"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2007","92.6"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2008","88.6"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2009","78"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2010","82.3"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2011","85.2"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2012","81.1"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2013","80.2"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2014","85"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2015","88.3"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2016","90"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2017","92.4"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2018","87.2"
"Total energy commodities","10-12 Manufacture of food and beverages","Total energy consumption","PJ","2019","85"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","1995","85"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","1996","94"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","1997","89.5"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","1998","91.1"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","1999","95"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2000","92.9"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2001","91.3"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2002","92.6"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2003","88.7"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2004","88"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2005","87"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2006","84.4"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2007","85.7"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2008","82.1"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2009","72"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2010","76.3"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2011","79.7"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2012","75.7"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2013","74.9"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2014","80.3"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2015","83.6"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2016","85.4"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2017","87.5"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2018","81.7"
"Total energy commodities","10 Manufacture of food products","Total energy consumption","PJ","2019","78.6"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2011","5.5"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2012","4.7"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2013","5.2"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2014","5"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2015","5.2"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2016","6"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2017","5.7"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2018","5.8"
"Total energy commodities","101 Slaughtering, processing of meat","Total energy consumption","PJ","2019","5.4"
"Total energy commodities","103  Processing of vegetables and fruit","Total energy consumption","PJ","2011","11.2"
"Total energy commodities","103  Processing of vegetables and fruit","Total energy consumption","PJ","2012","10.5"
"Total energy commodities","103  Processing of vegetables and fruit","Total energy consumption","PJ","2013","10.2"
"Total energy commodities","103  Processing of vegetables and fruit","Total energy consumption","PJ","2014","9.6"
"Total energy commodities","103  Processing of vegetables and fruit","Total energy consumption","PJ","2015","9.6"
