EstimateElextricConsumptionCleaned
Timestamp,Date and Time,GUESS
1479686400,2016-11-21T00:00:00,5.49582
1479772800,2016-11-22T00:00:00,5.45757
1479859200,2016-11-23T00:00:00,5.4113
1479945600,2016-11-24T00:00:00,5.52318
1480032000,2016-11-25T00:00:00,5.54518
1480118400,2016-11-26T00:00:00,5.6112
1480204800,2016-11-27T00:00:00,5.69371
1480291200,2016-11-28T00:00:00,5.82574
1480377600,2016-11-29T00:00:00,5.91926
1480464000,2016-11-30T00:00:00,5.89175
1480550400,2016-12-01T00:00:00,5.79273
1480636800,2016-12-02T00:00:00,5.76268
1480723200,2016-12-03T00:00:00,5.87837
1480809600,2016-12-04T00:00:00,5.91472
1480896000,2016-12-05T00:00:00,5.86344
1480982400,2016-12-06T00:00:00,5.87248
1481068800,2016-12-07T00:00:00,6.07098
1481155200,2016-12-08T00:00:00,6.14671
1481241600,2016-12-09T00:00:00,6.09632
1481328000,2016-12-10T00:00:00,5.8724
1481414400,2016-12-11T00:00:00,6.09632
1481500800,2016-12-12T00:00:00,6.11872
1481587200,2016-12-13T00:00:00,6.27546
1481673600,2016-12-14T00:00:00,6.07393
1481760000,2016-12-15T00:00:00,5.96397
1481846400,2016-12-16T00:00:00,6.0135
1481932800,2016-12-17T00:00:00,6.15248
1482019200,2016-12-18T00:00:00,5.95374
1482105600,2016-12-19T00:00:00,6.00075
1482192000,2016-12-20T00:00:00,5.83983
1482278400,2016-12-21T00:00:00,6.02439
1482364800,2016-12-22T00:00:00,6.21814
1482451200,2016-12-23T00:00:00,6.33318
1482537600,2016-12-24T00:00:00,6.28474
1482624000,2016-12-25T00:00:00,6.44216
1482710400,2016-12-26T00:00:00,6.38161
1482796800,2016-12-27T00:00:00,6.4906
1482883200,2016-12-28T00:00:00,6.54499
1482969600,2016-12-29T00:00:00,6.51256
1483056000,2016-12-30T00:00:00,6.56593
1483142400,2016-12-31T00:00:00,6.6543
1483228800,2017-01-01T00:00:00,6.61064
1483315200,2017-01-02T00:00:00,6.74316
1483401600,2017-01-03T00:00:00,6.81572
1483488000,2017-01-04T00:00:00,6.7537
1483574400,2017-01-05T00:00:00,6.69169
1483660800,2017-01-06T00:00:00,6.71649
1483747200,2017-01-07T00:00:00,6.66068
1483833600,2017-01-08T00:00:00,6.7289
1483920000,2017-01-09T00:00:00,6.58006
1484006400,2017-01-10T00:00:00,6.61525
1484092800,2017-01-11T00:00:00,6.66643
1484179200,2017-01-12T00:00:00,6.93597
1484265600,2017-01-13T00:00:00,6.93059
